iter	Passed	Remaining
1175	19555	1446
1176	19573	1430
1177	19590	1413
1178	19604	1396
1179	19621	1380
1180	19637	1363
1181	19655	1346
1182	19675	1330
1183	19693	1314
1184	19712	1297
1185	19731	1281
1186	19746	1264
1187	19763	1247
1188	19780	1231
1189	19796	1214
1190	19808	1197
1191	19827	1180
1192	19844	1164
1193	19859	1147
1194	19879	1131
1195	19896	1114
1196	19913	1098
1197	19931	1081
1198	19948	1064
1199	19964	1048
1200	19980	1031
1201	19996	1014
1202	20011	998
1203	20024	981
1204	20043	964
1205	20055	947
1206	20072	931
1207	20087	914
1208	20102	897
1209	20121	881
1210	20140	864
1211	20157	848
1212	20173	831
1213	20189	814
1214	20206	798
1215	20224	781
1216	20242	765
1217	20261	748
1218	20280	732
1219	20297	715
1220	20315	698
1221	20333	682
1222	20357	665
1223	20376	649
1224	20393	632
1225	20413	616
1226	20431	599
1227	20459	583
1228	20479	566
1229	20502	550
1230	20517	533
1231	20534	516
1232	20550	500
1233	20567	483
1234	20584	466
1235	20601	450
1236	20618	433
1237	20635	416
1238	20655	400
1239	20670	383
1240	20687	366
1241	20704	350
1242	20722	333
1243	20739	316
1244	20755	300
1245	20774	283
1246	20790	266
1247	20807	250
1248	20822	233
1249	20840	216
1250	20856	200
1251	20870	183
1252	20885	166
1253	20901	150
1254	20918	133
1255	20935	116
1256	20952	100
1257	20968	83
1258	20985	66
1259	21001	50
1260	21017	33
1261	21033	16
1262	21050	0
